"gene","group_timepoint","mean_intensity","sem","n"
"ART3","BFR_POST",21.5572435011209,0.0984555136842193,32
"ART3","BFR_PRE",21.9268519769519,0.0801991439106267,32
"ART3","HLRT_POST",21.396632972505,0.0957784070265488,32
"ART3","HLRT_PRE",21.9759590156812,0.0646053681734701,33
"CMBL","BFR_POST",27.3134261175861,0.0608153905902046,32
"CMBL","BFR_PRE",27.6262758119529,0.076406909400862,32
"CMBL","HLRT_POST",27.2884131486024,0.0680896689769443,32
"CMBL","HLRT_PRE",27.6389952654677,0.0644677270505416,33
"MYLK2","BFR_POST",25.0071659335906,0.0875631112748749,32
"MYLK2","BFR_PRE",25.5001339556974,0.090749025277159,32
"MYLK2","HLRT_POST",24.8783069328592,0.0805502360816316,32
"MYLK2","HLRT_PRE",25.4713625461297,0.0646084124094152,33
