sample,pct_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_deviation,mad_flag,n_flags,consensus_outlier
S10D_T1,2.894528152260111,FALSE,1.6576998932164038,FALSE,20.73892431577871,0.13375131589536693,FALSE,0,FALSE
S10D_T2,1.5860428231562251,FALSE,1.977741535771405,FALSE,20.775547620082257,0.0971280115918205,FALSE,0,FALSE
S10E_T1,1.3481363996827915,FALSE,2.4086022448170668,FALSE,20.65403546815563,0.2186401635184474,FALSE,0,FALSE
S10E_T2,1.387787470261697,FALSE,1.4747740456227032,FALSE,20.819094619900707,0.053581011773371046,FALSE,0,FALSE
S11D_T1,3.013481363996828,FALSE,1.8414668301877155,FALSE,20.730656704533022,0.14201892714105568,FALSE,0,FALSE
S11D_T2,2.775574940523394,FALSE,1.5777259405001711,FALSE,20.747144817899606,0.12553081377447128,FALSE,0,FALSE
S11E_T1,2.5773195876288657,FALSE,1.7983742577495052,FALSE,20.71397797302749,0.15869765864658802,FALSE,0,FALSE
S11E_T2,0.9119746233148296,FALSE,3.2479640020698053,FALSE,20.722341441113702,0.15033419056037545,FALSE,0,FALSE
S12D_T1,3.2117367168913558,FALSE,1.7966916097853585,FALSE,20.60964137612093,0.26303425555314774,FALSE,0,FALSE
S12D_T2,0.9119746233148296,FALSE,1.9890575703577948,FALSE,20.680030661075,0.19264497059907626,FALSE,0,FALSE
S12E_T1,9.793814432989691,FALSE,1.4805216262605554,FALSE,20.95304900742166,0.08037337574758396,FALSE,0,FALSE
S12E_T2,14.076130055511499,FALSE,0.5928723190958118,FALSE,21.05589736611294,0.18322173443886314,FALSE,0,FALSE
S13D_T1,2.4187153053132437,FALSE,2.6009233113464547,FALSE,20.779566277376148,0.09310935429792977,FALSE,0,FALSE
S13D_T2,3.6478984932593184,FALSE,1.0917657736155533,FALSE,20.787537044906827,0.0851385867672505,FALSE,0,FALSE
S13E_T1,13.838223632038066,FALSE,1.0363993458742544,FALSE,21.253497241289438,0.38082160961536005,FALSE,0,FALSE
S13E_T2,2.260111022997621,FALSE,2.645761502185808,FALSE,20.872675631674078,0,FALSE,0,FALSE
S14D_T1,8.564631245043616,FALSE,0.7390483674959526,FALSE,20.95303150261538,0.08035587094130392,FALSE,0,FALSE
S14D_T2,3.44964314036479,FALSE,1.2720878254146823,FALSE,20.618630153747663,0.2540454779264145,FALSE,0,FALSE
