"MB_pct","ALB_pct","CKM_pct","HBB_pct","HBA1_pct","sample","blood_pct","muscle_pct","B_M_ratio"
30.6889459951009,2.79430929323814,16.0874685321687,10.3534812541367,8.39907995655394,"S10D_T1",21.5468705039288,46.7764145272696,0.460635359116022
23.0089287737287,4.82736348782151,20.7757092162786,8.52683831026417,7.19592968511711,"S10D_T2",20.5501314832028,43.7846379900073,0.469345698093766
28.9188727388132,3.0825611600713,16.683965041623,12.0919022825477,9.88326310084715,"S10E_T1",25.0577265434662,45.6028377804362,0.549477351916376
25.5290414317448,3.78904720197475,14.1081544754379,16.7954219945689,11.2327782299677,"S10E_T2",31.8172474265114,39.6371959071827,0.80271186440678
25.3376151391003,3.87716526960729,20.9162863228815,8.09443275584681,7.82235098254103,"S11D_T1",19.7939490079951,46.2539014619817,0.427941176470588
16.9504349515342,4.80291538440576,14.4087461532173,16.7751460688917,14.7242661419739,"S11D_T2",36.3023275952713,31.3591811047515,1.157629960872
22.3977446650469,4.79541456290106,12.7207703674561,14.5011039177547,13.9985904156543,"S11E_T1",33.2951088963101,35.118515032503,0.948078495502862
20.090012595138,7.80770944038317,12.678015524053,15.1283882723994,12.1148863831287,"S11E_T2",35.0509840959112,32.768028119191,1.06967022758941
26.041514643765,2.73624610387385,15.0776595654842,13.2849466008772,9.6051673577365,"S12D_T1",25.6263600624875,41.1191742092492,0.623221661312529
26.075580544761,5.74024932825642,12.9291420201107,14.4140014677985,12.1504962121768,"S12D_T2",32.3047470082317,39.0047225648717,0.828226555246054
20.8758031567365,2.36329847057394,13.6283545136431,7.08989541172183,5.69161048329891,"S12E_T1",15.1448043655947,34.5041576703796,0.438926940639269
14.2224381936224,4.50800496315708,7.04772606916108,20.4870835884322,14.5187389893228,"S12E_T2",39.5138275409121,21.2701642627834,1.85771144278607
30.5254924085367,4.11359576842313,18.9355995689319,8.61896256241037,7.60688741303642,"S13D_T1",20.3394457438699,49.4610919774686,0.411221122112211
23.9820656237697,3.97155226890454,16.0389610859606,13.5949289204809,11.3494743684464,"S13D_T2",28.9159555578319,40.0210267097304,0.722519083969466
19.7037765265085,2.33695954151613,11.8375401612745,12.3110417677255,10.2337443974889,"S13E_T1",24.8817457067305,31.541316687783,0.788861985472155
23.2425091072204,6.36015946887505,14.4319765851811,12.8104061823517,11.3149579219647,"S13E_T2",30.4855235731915,37.6744856924015,0.809182209469154
28.1253675750007,2.32703934102685,17.4109418321433,5.54136706388408,6.31146641415195,"S14D_T1",14.1798728190629,45.5363094071441,0.311397058823529
28.7482260125491,3.61149589282648,15.236559786651,11.3555492749569,9.00178827017942,"S14D_T2",23.9688334379628,43.9847857992001,0.544934640522876
24.4967013923465,3.96700313592477,13.7108403315372,13.0710011160655,11.1514834696503,"S14E_T1",28.1894877216406,38.2075417238838,0.737799043062201
17.7429073983476,3.26595109633301,13.4720482723737,16.1727386020337,12.9538925695901,"S14E_T2",32.3925822679568,31.2149556707213,1.03772635814889
13.288111917767,1.73054480789524,7.46416304504264,12.2659494625541,8.74780891903086,"S15D_T1",22.7443031894802,20.7522749628096,1.09599083619702
13.7007642354023,1.33485594992737,8.2415908254091,4.89564583218745,5.8113781461218,"S15D_T2",12.0418799282366,21.9423550608114,0.548796147672552
17.4360877194665,2.2469185205498,9.23932895650079,11.0368637729406,7.01038578411538,"S15E_T1",20.2941680776058,26.6754166759673,0.76078167115903
11.1937154677526,2.09228326500049,8.26451889675193,9.31066052925217,7.77631946825181,"S15E_T2",19.1792632625045,19.4582343645045,0.985663082437276
