"gene","protein","description","in_hpa_muscle","in_blood_blacklist"
"FETUB","FETUB_HUMAN","Fetuin-B",FALSE,FALSE
"FGA","FIBA_HUMAN","Fibrinogen alpha chain",FALSE,TRUE
"FGB","FIBB_HUMAN","Fibrinogen beta chain",FALSE,TRUE
"FGG","FIBG_HUMAN","Fibrinogen gamma chain",FALSE,TRUE
"Fibrinogen","Fibrinogen","",FALSE,FALSE
"Forkhead","Forkhead","",FALSE,FALSE
"GATD3A","GAL3A_HUMAN","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",FALSE,FALSE
"GC","VTDB_HUMAN","Vitamin D-binding protein",FALSE,TRUE
"GLYAT","GLYAT_HUMAN","Glycine N-acyltransferase",FALSE,FALSE
"GNAS","GNAS1_HUMAN","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short",FALSE,FALSE
"GSTT1","GSTT1_HUMAN","Glutathione S-transferase theta-1",FALSE,FALSE
"GYS2","GYS2_HUMAN","Glycogen [starch] synthase, liver",FALSE,FALSE
"Growth-regulated","Growth-regulated","",FALSE,FALSE
"H1-4","H14_HUMAN","Histone H1.4",FALSE,FALSE
"H1-5","H15_HUMAN","Histone H1.5",FALSE,FALSE
"H2AC11","H2A1B_HUMAN","Histone H2A type 1-B/E",FALSE,FALSE
"HABP2","HABP2_HUMAN","Hyaluronan-binding protein 2",FALSE,FALSE
"HAS1","HYAS1_HUMAN","Hyaluronan synthase 1",FALSE,FALSE
"HBA1","HBA_HUMAN","Hemoglobin subunit alpha",TRUE,TRUE
"HBB","HBB_HUMAN","Hemoglobin subunit beta",TRUE,TRUE
"HBD","HBD_HUMAN","Hemoglobin subunit delta",FALSE,TRUE
"HBG1","HBG1_HUMAN","Hemoglobin subunit gamma-1",FALSE,TRUE
"HBG2","HBG2_HUMAN","Hemoglobin subunit gamma-2",TRUE,TRUE
"HBM","HBM_HUMAN","Hemoglobin subunit mu",FALSE,TRUE
"HBQ1","HBAT_HUMAN","Hemoglobin subunit theta-1",FALSE,TRUE
"HBZ","HBAZ_HUMAN","Hemoglobin subunit zeta",FALSE,TRUE
"HIST2H2AA3","H2A2A_HUMAN","Histone H2A type 2-C",FALSE,FALSE
"HIST3H2BB","H2B3B_HUMAN","Histone H2B type 3-B",FALSE,FALSE
"HLA-DRB3","DRB3_HUMAN","HLA class II histocompatibility antigen, DR beta 3 chain",FALSE,FALSE
"HLA-DRB4","DRB4_HUMAN","HLA class II histocompatibility antigen, DR beta 4 chain",FALSE,FALSE
"HP","HPT_HUMAN","Haptoglobin",TRUE,TRUE
"HPX","HEMO_HUMAN","Hemopexin",FALSE,TRUE
"HRG","HRG_HUMAN","Histidine-rich glycoprotein",FALSE,FALSE
"HRNR","HORN_HUMAN","Hornerin",FALSE,FALSE
"HSP90AB2P","H90B2_HUMAN","Putative heat shock protein HSP 90-beta 2",FALSE,FALSE
"HSP90AB4P","H90B4_HUMAN","Putative heat shock protein HSP 90-beta 4",FALSE,FALSE
"Histone","Histone","",FALSE,FALSE
"IGFALS","ALS_HUMAN","Insulin-like growth factor-binding protein complex acid labile subunit",FALSE,FALSE
"IGHA1","IGHA1_HUMAN","Immunoglobulin heavy constant alpha 1",TRUE,TRUE
"IGHA2","IGHA2_HUMAN","Immunoglobulin heavy constant alpha 2",TRUE,TRUE
"IGHD","IGHD_HUMAN","Immunoglobulin heavy constant delta",FALSE,TRUE
"IGHG1","IGHG1_HUMAN","Immunoglobulin heavy constant gamma 1",TRUE,TRUE
"IGHG2","IGHG2_HUMAN","Immunoglobulin heavy constant gamma 2",TRUE,TRUE
