"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",2,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0B4J1V0","HV315_HUMAN","IGHV3-15","Immunoglobulin heavy variable 3-15",3,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",4,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0B4J1X8","HV343_HUMAN","IGHV3-43","Immunoglobulin heavy variable 3-43",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",2,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0B4J2D9","KV113_HUMAN","IGKV1-13","Immunoglobulin kappa variable 1D-13",1,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH31","HV118_HUMAN","IGHV1-18","Immunoglobulin heavy variable 1-18",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH34","HV428_HUMAN","IGHV4-28","Immunoglobulin heavy variable 4-28",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH38","HV551_HUMAN","IGHV5-51","Immunoglobulin heavy variable 5-51",4,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH43","HV70D_HUMAN","IGHV2-70D","Immunoglobulin heavy variable 2-70D",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0C4DH67","KV108_HUMAN","IGKV1-8","Immunoglobulin kappa variable 1-8",2,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0A0J9YX35","HV64D_HUMAN","IGHV3-64D","Immunoglobulin heavy variable 3-64D",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"A0M8Q6","IGLC7_HUMAN","IGLC7","Immunoglobulin lambda constant 7",4,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",6,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"O14791","APOL1_HUMAN","APOL1","Apolipoprotein L1",4,4,FALSE,"APOL1","ENSG00000100342",TRUE,TRUE,"Blood blacklist"
"O43790","KRT86_HUMAN","KRT86","Keratin, type II cuticular Hb6",5,0,TRUE,NA,NA,FALSE,TRUE,"Blood blacklist"
"O95445","APOM_HUMAN","APOM","Apolipoprotein M",4,4,FALSE,"APOM","ENSG00000204444",TRUE,TRUE,"Blood blacklist"
"P00488","F13A_HUMAN","F13A1","Coagulation factor XIII A chain",11,11,FALSE,"F13A1","ENSG00000124491",TRUE,TRUE,"Blood blacklist"
"P00734","THRB_HUMAN","F2","Prothrombin",20,20,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P00738","HPT_HUMAN","HP","Haptoglobin",25,11,FALSE,"HP","ENSG00000257017",TRUE,TRUE,"Blood blacklist"
"P00742","FA10_HUMAN","F10","Coagulation factor X",2,2,FALSE,"F10","ENSG00000126218",TRUE,TRUE,"Blood blacklist"
"P00747","PLMN_HUMAN","PLG","Plasminogen",30,26,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P00751","CFAB_HUMAN","CFB","Complement factor B",21,21,FALSE,"CFB","ENSG00000243649",TRUE,TRUE,"Blood blacklist"
"P01008","ANT3_HUMAN","SERPINC1","Antithrombin-III",20,0,TRUE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01009","A1AT_HUMAN","SERPINA1","Alpha-1-antitrypsin",26,25,FALSE,"SERPINA1","ENSG00000197249",TRUE,TRUE,"Blood blacklist"
"P01023","A2MG_HUMAN","A2M","Alpha-2-macroglobulin",74,64,FALSE,"A2M","ENSG00000175899",TRUE,TRUE,"Blood blacklist"
"P01024","CO3_HUMAN","C3","Complement C3",94,93,FALSE,"C3","ENSG00000125730",TRUE,TRUE,"Blood blacklist"
"P01031","CO5_HUMAN","C5","Complement C5",14,0,TRUE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01042","KNG1_HUMAN","KNG1","Kininogen-1",22,22,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01591","IGJ_HUMAN","JCHAIN","Immunoglobulin J chain",5,5,FALSE,"JCHAIN","ENSG00000132465",TRUE,TRUE,"Blood blacklist"
"P01593","KV133_HUMAN","IGKV1-33","Immunoglobulin kappa variable 1D-33",1,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01597","KV139_HUMAN","IGKV1-39","Immunoglobulin kappa variable 1-39",2,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01599","KV117_HUMAN","IGKV1-17","Immunoglobulin kappa variable 1-17",1,0,FALSE,"IGKV1-17","ENSG00000240382",TRUE,TRUE,"Blood blacklist"
"P01602","KV105_HUMAN","IGKV1-5","Immunoglobulin kappa variable 1-5",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01619","KV320_HUMAN","IGKV3-20","Immunoglobulin kappa variable 3-20",4,2,FALSE,"IGKV3-20","ENSG00000239951",TRUE,TRUE,"Blood blacklist"
"P01624","KV315_HUMAN","IGKV3-15","Immunoglobulin kappa variable 3-15",1,0,FALSE,"IGKV3-15","ENSG00000244437",TRUE,TRUE,"Blood blacklist"
"P01700","LV147_HUMAN","IGLV1-47","Immunoglobulin lambda variable 1-47",2,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01701","LV151_HUMAN","IGLV1-51","Immunoglobulin lambda variable 1-51",1,1,FALSE,"IGLV1-51","ENSG00000211644",TRUE,TRUE,"Blood blacklist"
"P01703","LV140_HUMAN","IGLV1-40","Immunoglobulin lambda variable 1-40",1,1,FALSE,"IGLV1-40","ENSG00000211653",TRUE,TRUE,"Blood blacklist"
"P01704","LV214_HUMAN","IGLV2-14","Immunoglobulin lambda variable 2-14",1,1,FALSE,"IGLV2-14","ENSG00000211666",TRUE,TRUE,"Blood blacklist"
"P01705","LV223_HUMAN","IGLV2-23","Immunoglobulin lambda variable 2-23",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01706","LV211_HUMAN","IGLV2-11","Immunoglobulin lambda variable 2-11",1,1,FALSE,"IGLV2-11","ENSG00000211668",TRUE,TRUE,"Blood blacklist"
"P01714","LV319_HUMAN","IGLV3-19","Immunoglobulin lambda variable 3-19",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01717","LV325_HUMAN","IGLV3-25","Immunoglobulin lambda variable 3-25",3,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01721","LV657_HUMAN","IGLV6-57","Immunoglobulin lambda variable 6-57",2,2,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01742","HV169_HUMAN","IGHV1-69","Immunoglobulin heavy variable 1-69",2,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01766","HV313_HUMAN","IGHV3-13","Immunoglobulin heavy variable 3-13",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01768","HV330_HUMAN","IGHV3-30","Immunoglobulin heavy variable 3-30",2,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01780","HV307_HUMAN","IGHV3-7","Immunoglobulin heavy variable 3-7",3,2,FALSE,"IGHV3-7","ENSG00000211938",TRUE,TRUE,"Blood blacklist"
"P01782","HV309_HUMAN","IGHV3-43D","Immunoglobulin heavy variable 3-9",1,0,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01817","HV205_HUMAN","IGHV2-5","Immunoglobulin heavy variable 2-5",1,1,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01834","IGKC_HUMAN","IGKC","Immunoglobulin kappa constant",7,7,FALSE,NA,NA,FALSE,TRUE,"Blood blacklist"
"P01857","IGHG1_HUMAN","IGHG1","Immunoglobulin heavy constant gamma 1",13,7,FALSE,"IGHG1","ENSG00000211896",TRUE,TRUE,"Blood blacklist"
"P01859","IGHG2_HUMAN","IGHG2","Immunoglobulin heavy constant gamma 2",8,7,FALSE,"IGHG2","ENSG00000211893",TRUE,TRUE,"Blood blacklist"
