"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"Q9H6N6","MYH16_HUMAN","MYH16","Putative uncharacterized protein MYH16",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9H853","TBA4B_HUMAN","TUBA4B","Putative tubulin-like protein alpha-4B",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9HAY6","BCDO1_HUMAN","BCO1","Beta,beta-carotene 15,15'-dioxygenase",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9NP55","BPIA1_HUMAN","BPIFA1","BPI fold-containing family A member 1",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9NZD4","AHSP_HUMAN","AHSP","Alpha-hemoglobin-stabilizing protein",5,5,FALSE,NA,NA,FALSE,TRUE,"HPA"
"Q9P0M2","AKA7G_HUMAN","AKAP7","A-kinase anchor protein 7 isoform gamma",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9UD71","PPR1B_HUMAN","PPP1R1B","Protein phosphatase 1 regulatory subunit 1B",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9UDX3","S14L4_HUMAN","SEC14L4","SEC14-like protein 4",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9UGM5","FETUB_HUMAN","FETUB","Fetuin-B",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9UII6","DS13B_HUMAN","DUSP13","Dual specificity protein phosphatase 13 isoform B",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9UQ16","DYN3_HUMAN","DNM3","Dynamin-3",2,2,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9Y2D5","AKAP2_HUMAN","AKAP2","A-kinase anchor protein 2",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"Q9Y2K3","MYH15_HUMAN","MYH15","Myosin-15",30,30,FALSE,NA,NA,FALSE,FALSE,"HPA"
"cRAP-P00698","cRAP-LYSC_CHICK","cRAP-LYZ","Lysozyme C",4,4,TRUE,NA,NA,FALSE,FALSE,"HPA"
"cRAP-P00761","cRAP-TRYP_PIG","","Trypsin",2,2,TRUE,NA,NA,FALSE,FALSE,"HPA"
"cRAP-P02662","cRAP-CASA1_BOVIN","cRAP-CSN1S1","Alpha-S1-casein",2,2,TRUE,NA,NA,FALSE,FALSE,"HPA"
"cRAP-P02769","cRAP-ALBU_BOVIN","cRAP-ALB","Serum albumin",42,36,TRUE,NA,NA,FALSE,FALSE,"HPA"
"cRAP-P12763","cRAP-FETUA_BOVIN","cRAP-AHSG","Alpha-2-HS-glycoprotein",2,2,TRUE,NA,NA,FALSE,FALSE,"HPA"
"cRAP-P68082","cRAP-MYG_HORSE","cRAP-MB","Myoglobin",8,5,TRUE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|O00358|FOXE1_HUMAN","Forkhead","Forkhead","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|O15446|RPA34_HUMAN","DNA-directed","DNA-directed","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|O60518|RNBP6_HUMAN","Ran-binding","Ran-binding","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|O94952|FBX21_HUMAN","F-box","F-box","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|O95522|PRA12_HUMAN","PRAME","PRAME","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|P02679|FIBG_HUMAN","Fibrinogen","Fibrinogen","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|P09341|GROA_HUMAN","Growth-regulated","Growth-regulated","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|P17480|UBF1_HUMAN","Nucleolar","Nucleolar","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|P54105|ICLN_HUMAN","Methylosome","Methylosome","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|P62805|H4_HUMAN","Histone","Histone","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q7Z392|TPC11_HUMAN","Trafficking","Trafficking","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q8NEM7|SP20H_HUMAN","Transcription","Transcription","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q8NHR9|PROF4_HUMAN","Profilin-4","Profilin-4","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q96DZ9|CKLF5_HUMAN","CKLF-like","CKLF-like","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q96E29|MTEF3_HUMAN","Transcription","Transcription","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q9UN72|PCDA7_HUMAN","Protocadherin","Protocadherin","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q9Y4F4|TGRM1_HUMAN","TOG","TOG","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
"rev_sp|Q9Y5R5|DMRT2_HUMAN","Doublesex-","Doublesex-","",1,1,FALSE,NA,NA,FALSE,FALSE,"HPA"
