"uniprot_id","protein","gene","description","n_seq","n_pro_seq","is_crap","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"O96033","MOC2A_HUMAN","MOCS2","Molybdopterin synthase sulfur carrier subunit",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P00734","THRB_HUMAN","F2","Prothrombin",20,20,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P00736","C1R_HUMAN","C1R","Complement C1r subcomponent",12,12,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P00740","FA9_HUMAN","F9","Coagulation factor IX",6,6,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P00747","PLMN_HUMAN","PLG","Plasminogen",30,26,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P00748","FA12_HUMAN","F12","Coagulation factor XII",3,3,FALSE,NA,NA,FALSE,FALSE,"HPA"
"P00915","CAH1_HUMAN","CA1","Carbonic anhydrase 1",16,0,TRUE,NA,NA,FALSE,FALSE,"HPA"
"P01008","ANT3_HUMAN","SERPINC1","Antithrombin-III",20,0,TRUE,NA,NA,FALSE,TRUE,"HPA"
"P01031","CO5_HUMAN","C5","Complement C5",14,0,TRUE,NA,NA,FALSE,TRUE,"HPA"
"P01042","KNG1_HUMAN","KNG1","Kininogen-1",22,22,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01593","KV133_HUMAN","IGKV1-33","Immunoglobulin kappa variable 1D-33",1,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01597","KV139_HUMAN","IGKV1-39","Immunoglobulin kappa variable 1-39",2,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01602","KV105_HUMAN","IGKV1-5","Immunoglobulin kappa variable 1-5",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01700","LV147_HUMAN","IGLV1-47","Immunoglobulin lambda variable 1-47",2,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01705","LV223_HUMAN","IGLV2-23","Immunoglobulin lambda variable 2-23",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01714","LV319_HUMAN","IGLV3-19","Immunoglobulin lambda variable 3-19",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01717","LV325_HUMAN","IGLV3-25","Immunoglobulin lambda variable 3-25",3,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01721","LV657_HUMAN","IGLV6-57","Immunoglobulin lambda variable 6-57",2,2,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01742","HV169_HUMAN","IGHV1-69","Immunoglobulin heavy variable 1-69",2,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01766","HV313_HUMAN","IGHV3-13","Immunoglobulin heavy variable 3-13",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01768","HV330_HUMAN","IGHV3-30","Immunoglobulin heavy variable 3-30",2,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01782","HV309_HUMAN","IGHV3-43D","Immunoglobulin heavy variable 3-9",1,0,FALSE,NA,NA,FALSE,TRUE,"HPA"
"P01817","HV205_HUMAN","IGHV2-5","Immunoglobulin heavy variable 2-5",1,1,FALSE,NA,NA,FALSE,TRUE,"HPA"
